Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices,row_number
14,4,1384.1496595377575,434.3501313387567,36.90657889896705,-1.1857051118950863,6.705091682974249,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",109
14,5,1467.7312918128002,412.2114919831878,36.90732953079728,-1.1859058432633716,3.4625434221707665,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",110
14,6,1315.632146864958,464.579542306255,36.90596363774976,-1.185431333329091,7.103322058488847,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",111
14,7,1446.147500383287,505.90594563904415,36.907136288026265,-1.1850585854604,3.048241412694193,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",112
14,8,1486.3596538075894,404.7677661472332,36.90749681182896,-1.1859732708531283,11.540861314603749,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",113
14,9,1348.7631821054838,455.292246494347,36.90626117802633,-1.1855155281479377,10.492628078907728,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",114
15,0,1391.885489987561,423.9572862828769,36.90664831637812,-1.185799128550537,9.97723174009705,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",115
15,10,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",116
15,11,1346.284978909429,353.16567849495334,36.90623822310466,-1.186438857306534,8.632488870783709,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",117
15,12,1371.8628078386168,430.7710577468771,36.90646850653341,-1.1857373869687735,1.3775463235564531,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",118
15,13,1512.1201685920985,319.9257038119832,36.90772763245651,-1.1867405212474655,2.704960494930856,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",119
15,14,1406.1349680393337,402.43057529199126,36.90677616776476,-1.1859938532374736,2.3400352335069328,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",120
15,2,1442.401207581146,496.753283761397,36.90710257435788,-1.1851413108982565,9.064270904138592,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",121
15,3,1364.8062133145786,162.28340813065785,36.90640329352421,-1.1881647878541328,24.59482286197599,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",122
15,4,1382.4822290984714,435.79296910662873,36.90656393087673,-1.185692055512997,2.205091682974249,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",123
15,5,1465.6578792999735,411.0198427877936,36.90731089801545,-1.1859166030252248,2.6682626988651226,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",124
15,6,1322.81131871489,461.6906395465426,36.90602810586133,-1.185457501555029,7.74833516875864,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",125
15,7,1445.3275816125526,503.997415769351,36.907128910049614,-1.1850758352563249,2.090395678331703,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",126
